movie,city_name,cinema_date,cinema_name,cinema_url,cinema_address,hall,lang,begin_time,all_seats,selectable_seat,sold_seat,occupancy_rate,url
八角笼中,北京,2023-07-27,UE国际影城（天通苑店）,https://www.maoyan.com/cinema/38812?poi=1281886042,地址：昌平区立汤路188号万优汇四层4C08,4号厅【影厅冠名招商】,国语2D,22:15,50,47,3,6.00%,https://www.maoyan.com/xseats/202307270579029?movieId=1413252&cinemaId=38812
八角笼中,北京,2023-07-27,UE国际影城（天通苑店）,https://www.maoyan.com/cinema/38812?poi=1281886042,地址：昌平区立汤路188号万优汇四层4C08,8号厅【影厅冠名招商】,国语2D,14:10,67,67,0,0.00%,https://www.maoyan.com/xseats/202307270698119?movieId=1413252&cinemaId=38812
八角笼中,北京,2023-07-27,万达影城（天通苑龙德广场IMAX店）,https://www.maoyan.com/cinema/151?poi=30864,地址：昌平区天通苑南街道立汤路186号龙德广场5层,8号厅,国语2D,22:55,263,77,186,70.72%,https://www.maoyan.com/xseats/202307270749918?movieId=1413252&cinemaId=151
八角笼中,北京,2023-07-27,万达影城（天通苑龙德广场IMAX店）,https://www.maoyan.com/cinema/151?poi=30864,地址：昌平区天通苑南街道立汤路186号龙德广场5层,1号厅-4DX厅-儿童需购票,国语2D,17:05,128,30,98,76.56%,https://www.maoyan.com/xseats/202307270581704?movieId=1413252&cinemaId=151
八角笼中,北京,2023-07-27,万达影城（延庆万达广场CINITY店）,https://www.maoyan.com/cinema/36047?poi=839123925,地址：延庆区延庆镇庆园街59号万达广场4层,3号厅,国语2D,11:00,107,31,76,71.03%,https://www.maoyan.com/xseats/202307270714197?movieId=1413252&cinemaId=36047
八角笼中,北京,2023-07-27,万达影城（延庆万达广场CINITY店）,https://www.maoyan.com/cinema/36047?poi=839123925,地址：延庆区延庆镇庆园街59号万达广场4层,3号厅,国语2D,21:50,107,31,76,71.03%,https://www.maoyan.com/xseats/202307270714193?movieId=1413252&cinemaId=36047
八角笼中,北京,2023-07-27,万达影城（槐房万达广场IMAX店）,https://www.maoyan.com/cinema/16657?poi=131412291,地址：丰台区槐房南路6号院万达广场4层,6号厅,国语2D,11:25,104,29,75,72.12%,https://www.maoyan.com/xseats/202307270667525?movieId=1413252&cinemaId=16657
八角笼中,北京,2023-07-27,万达影城（房山首创奥莱激光IMAX店）,https://www.maoyan.com/cinema/27189?poi=193725332,地址：房山区长阳镇京良路首创奥特莱斯广场二期,VIP厅-停车免费-儿童需购票,国语2D,11:45,98,28,70,71.43%,https://www.maoyan.com/xseats/202307270764789?movieId=1413252&cinemaId=27189
八角笼中,北京,2023-07-27,万达影城（石景山万达广场激光IMAX店）,https://www.maoyan.com/cinema/133?poi=298683,地址：石景山区石景山路乙18号万达广场娱乐楼4楼,3号厅,国语2D,11:50,163,47,116,71.17%,https://www.maoyan.com/xseats/202307270578005?movieId=1413252&cinemaId=133
八角笼中,北京,2023-07-27,万达影城（望京新荟城激光巨幕店）,https://www.maoyan.com/cinema/39?poi=1107541,地址：朝阳区望京街道望京东园一区120号新荟城购物中心5层,1号厅,国语2D,16:30,196,54,142,72.45%,https://www.maoyan.com/xseats/202307270725578?movieId=1413252&cinemaId=39
八角笼中,北京,2023-07-27,万达影城（石景山万达广场激光IMAX店）,https://www.maoyan.com/cinema/133?poi=298683,地址：石景山区石景山路乙18号万达广场娱乐楼4楼,6号厅,国语2D,15:00,172,47,125,72.67%,https://www.maoyan.com/xseats/202307270578004?movieId=1413252&cinemaId=133
八角笼中,北京,2023-07-27,万达影城（望京新荟城激光巨幕店）,https://www.maoyan.com/cinema/39?poi=1107541,地址：朝阳区望京街道望京东园一区120号新荟城购物中心5层,VIP厅-儿童需购票,国语2D,23:10,71,21,50,70.42%,https://www.maoyan.com/xseats/202307270821939?movieId=1413252&cinemaId=39
八角笼中,北京,2023-07-27,SFC上影影城（北京大兴龙湖天街IMAX店）,https://www.maoyan.com/cinema/15915?poi=96251713,地址：大兴区生物医药基地龙湖天街商场3层,3号厅（如遇3D电影凭电影票领取3D眼镜）,国语2D,10:50,227,49,178,78.41%,https://www.maoyan.com/xseats/202307270526157?movieId=1413252&cinemaId=15915
八角笼中,北京,2023-07-27,SFC上影影城（北京大兴龙湖天街IMAX店）,https://www.maoyan.com/cinema/15915?poi=96251713,地址：大兴区生物医药基地龙湖天街商场3层,3号厅（如遇3D电影凭电影票领取3D眼镜）,国语2D,23:30,227,60,167,73.57%,https://www.maoyan.com/xseats/202307270526158?movieId=1413252&cinemaId=15915
八角笼中,北京,2023-07-27,万达影城（房山首创奥莱激光IMAX店）,https://www.maoyan.com/cinema/27189?poi=193725332,地址：房山区长阳镇京良路首创奥特莱斯广场二期,VIP厅-停车免费-儿童需购票,国语2D,20:30,98,28,70,71.43%,https://www.maoyan.com/xseats/202307270764786?movieId=1413252&cinemaId=27189
八角笼中,北京,2023-07-27,万达影城（西铁营万达广场IMAX店）,https://www.maoyan.com/cinema/24580?poi=164912365,地址：丰台区右安门街道西铁营中路1号万达广场七层,9号厅,国语2D,09:15,87,27,60,68.97%,https://www.maoyan.com/xseats/202307270748414?movieId=1413252&cinemaId=24580
八角笼中,北京,2023-07-27,万达影城（通州领展广场杜比全景声店）,https://www.maoyan.com/cinema/10964?poi=6139543,地址：通州区九棵树东路翠景北里21号领展购物广场·京通5F,2号厅-口味王厅,国语2D,22:25,247,87,160,64.78%,https://www.maoyan.com/xseats/202307270773438?movieId=1413252&cinemaId=10964
八角笼中,北京,2023-07-27,万达影城（通州领展广场杜比全景声店）,https://www.maoyan.com/cinema/10964?poi=6139543,地址：通州区九棵树东路翠景北里21号领展购物广场·京通5F,3号厅,国语2D,12:40,217,76,141,64.98%,https://www.maoyan.com/xseats/202307270773440?movieId=1413252&cinemaId=10964
八角笼中,北京,2023-07-27,万达影城（通州领展广场杜比全景声店）,https://www.maoyan.com/cinema/10964?poi=6139543,地址：通州区九棵树东路翠景北里21号领展购物广场·京通5F,3号厅,国语2D,10:30,217,74,143,65.90%,https://www.maoyan.com/xseats/202307270773439?movieId=1413252&cinemaId=10964
八角笼中,北京,2023-07-27,万达影城（通州万达广场IMAX杜比影院店）,https://www.maoyan.com/cinema/10837?poi=41521114,地址：通州区新华西街58号万达广场1号楼5层,8号厅,国语2D,09:40,171,49,122,71.35%,https://www.maoyan.com/xseats/202307270773036?movieId=1413252&cinemaId=10837
八角笼中,北京,2023-07-27,东都影城,https://www.maoyan.com/cinema/262?poi=30903,地址：朝阳区劲松街道东四环中路195号华腾新天地5层,4号（激光厅）,国语2D,21:10,92,92,0,0.00%,https://www.maoyan.com/xseats/202307270561589?movieId=1413252&cinemaId=262
八角笼中,北京,2023-07-27,东都影城,https://www.maoyan.com/cinema/262?poi=30903,地址：朝阳区劲松街道东四环中路195号华腾新天地5层,4号（激光厅）,国语2D,09:30,92,92,0,0.00%,https://www.maoyan.com/xseats/202307270561593?movieId=1413252&cinemaId=262
八角笼中,北京,2023-07-27,东融国际影城（西小口店）,https://www.maoyan.com/cinema/25045?poi=165628440,地址：海淀区东升地区文龙家园四里悦茂购物中心4层,6号高清激光厅,国语2D,13:25,69,60,9,13.04%,https://www.maoyan.com/xseats/202307270430567?movieId=1413252&cinemaId=25045
八角笼中,北京,2023-07-27,东融国际影城（西小口店）,https://www.maoyan.com/cinema/25045?poi=165628440,地址：海淀区东升地区文龙家园四里悦茂购物中心4层,6号高清激光厅,国语2D,15:45,69,66,3,4.35%,https://www.maoyan.com/xseats/202307270689322?movieId=1413252&cinemaId=25045
